ISSUE_DATE,ADDRESS,CITY,ZIPCODE,LATITUDE,LONGITUDE,DISTRICT,NEIGHBORHOOD
2024-12-17 05:00:00,6803 SYLVANIA NO 4 RD,LOUISVILLE,40258,38.15413144,-85.87502957,12.0,
2024-12-17 05:00:00,1328 TYCOON WAY,LOUISVILLE,40213,38.20993484,-85.70206847,10.0,
2024-12-17 05:00:00,4907 HOPEWELL RD,LOUISVILLE,40299,38.16758222,-85.50375806,20.0,
2024-12-17 05:00:00,5805 ROUND HILL RD,GLENVIEW,40222,38.30474704,-85.64491922,16.0,
2024-12-17 05:00:00,1632 ALGONQUIN PKY,LOUISVILLE,40210,38.22243835,-85.7858616,6.0,
2024-12-16 05:00:00,8803 NATIONAL TPKE,LOUISVILLE,40118,38.12279131,-85.74767964,13.0,
2024-12-16 05:00:00,700 CENTRAL AVE,LOUISVILLE,40208,38.20415465,-85.77176682,15.0,
2024-12-16 05:00:00,"5406 ANTLE DR, 111",LOUISVILLE,40229,38.0862553,-85.66513888,23.0,
2024-12-16 05:00:00,1436 S SHELBY ST,LOUISVILLE,40217,38.22689115,-85.74195861,6.0,
2024-12-16 05:00:00,6333 STRAWBERRY LN,LOUISVILLE,40214,38.16409603,-85.75851866,25.0,
2024-12-16 05:00:00,"1104 CHEROKEE RD, 1",LOUISVILLE,40204,38.23883266,-85.71962712,8.0,
2024-12-16 05:00:00,"2109 VILLAGE DR, 3",LOUISVILLE,40205,38.22793668,-85.69416996,8.0,
2024-12-16 05:00:00,"6305 MILLERS MEADOW DR, 101",LOUISVILLE,40229,38.11247246,-85.64395169,23.0,
2024-12-16 05:00:00,"6318 MILLERS MEADOW DR, 101",LOUISVILLE,40229,38.11269489,-85.64281533,23.0,
2024-12-16 05:00:00,9102 GLOVER LN,WESTWOOD,40242,38.28118279,-85.58315909,7.0,
2024-12-16 05:00:00,3205 MALDON CT,LOUISVILLE,40216,38.17250495,-85.86390671,1.0,
2024-12-16 05:00:00,3207 MALDON CT,LOUISVILLE,40216,38.17263642,-85.86429251,1.0,
2024-12-16 05:00:00,3209 MALDON CT,LOUISVILLE,40216,38.17275185,-85.86444531,1.0,
2024-12-16 05:00:00,5744 MALDON DR,LOUISVILLE,40216,38.17296389,-85.8641456,1.0,
2024-12-16 05:00:00,5743 MALDON DR,LOUISVILLE,40216,38.1732005,-85.8636772,1.0,
2024-12-16 05:00:00,8304 LAKE SUPERIOR DR,LOUISVILLE,40291,38.16324157,-85.6047844,24.0,
2024-12-16 05:00:00,7006 URANUS DR,LOUISVILLE,40258,38.15117453,-85.85356626,12.0,
2024-12-16 05:00:00,3226 POMEROY DR,LOUISVILLE,40220,38.20518185,-85.62514682,26.0,
2024-12-16 05:00:00,"4809 SADDLEBROOK LN, 2",LOUISVILLE,40216,38.17812615,-85.84988433,1.0,
2024-12-16 05:00:00,613 GHEENS AVE,LOUISVILLE,40214,38.16847988,-85.7752834,21.0,
2024-12-16 05:00:00,2102 WALLIE ANN CT,LOUISVILLE,40210,38.22081887,-85.79025557,3.0,
2024-12-16 05:00:00,9812 MELISSA DR,LOUISVILLE,40223,38.2566022,-85.57497104,18.0,
2024-12-16 05:00:00,6510 GLENRIDGE PARK PL,NORTHFIELD,40222,38.28530497,-85.62979963,7.0,
2024-12-16 05:00:00,2015 GARDINER LN,LOUISVILLE,40205,38.21071062,-85.67755118,8.0,
2024-12-16 05:00:00,4514 EPINAY CT,LOUISVILLE,40272,38.11891493,-85.84280573,12.0,
2024-12-16 05:00:00,102 N CRESTMOOR AVE,LOUISVILLE,40206,38.25492054,-85.67429477,9.0,
2024-12-15 05:00:00,"1935 GARDINER LN, 80",LOUISVILLE,40205,38.20906495,-85.68153902,8.0,
2024-12-15 05:00:00,6001 WAGRAM WAY,GLENVIEW HILLS,40222,38.29398313,-85.63850738,16.0,
2024-12-14 05:00:00,3911 VERMONT AVE,LOUISVILLE,40211,38.25672925,-85.81609069,5.0,
2024-12-14 05:00:00,1748 W GAULBERT AVE,LOUISVILLE,40210,38.22719126,-85.78771202,6.0,
2024-12-13 05:00:00,541 INDUSTRY RD,LOUISVILLE,40208,38.21924914,-85.7704307,6.0,
2024-12-13 05:00:00,4523 MEADOWLARK MANOR LN,LOUISVILLE,40245,38.30444037,-85.53240009,17.0,
2024-12-13 05:00:00,4500 BISHOP LN,WATTERSON PARK,40218,38.19519753,-85.68889929,10.0,
2024-12-13 05:00:00,3203 MALDON CT,LOUISVILLE,40216,38.17250495,-85.86390671,1.0,
